transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash,amount_ARS
T372032,2023-01-14T00:15:32.255311,ACC285708,ACC631126,9.01,transfer,retail,Sydney,atm,True,-6715.227025866667,-0.84,8,0.04,ACH,44.55.99.117,D7846911,13084.7725
T1218513,2023-05-19T23:22:56.106216,ACC711065,ACC104201,588.75,withdrawal,restaurant,Dubai,mobile,False,,1.65,1,0.77,wire_transfer,207.117.219.156,D6799505,855012.1875
T2234960,2023-12-17T21:24:44.876488,ACC153570,ACC353475,1.89,payment,restaurant,Tokyo,atm,True,2188.14330527,-1.48,6,0.15,card,230.140.82.155,D5769750,2744.7525
T2254018,2023-04-30T13:48:46.565258,ACC959209,ACC174436,64.37,transfer,grocery,Sydney,web,False,1444.8588219088888,1.59,2,0.48,wire_transfer,225.113.177.141,D2034571,93481.3325
T4604705,2023-12-29T13:31:15.317103,ACC594698,ACC113820,178.55,payment,travel,Sydney,web,False,5154.370130068055,-0.25,17,0.65,ACH,243.253.125.61,D2920431,259299.23750000002
T4106376,2023-03-24T18:11:50.984741,ACC617115,ACC580240,29.14,transfer,other,Tokyo,pos,True,-1301.5757065027778,0.08,19,0.85,ACH,67.213.163.60,D1016268,42318.565
T3023165,2023-09-23T14:44:17.825807,ACC771517,ACC847340,22.43,transfer,online,Sydney,web,True,-2188.9361400097223,-1.14,17,0.6,card,166.116.227.235,D8850384,32573.9675
T1285239,2023-02-05T06:12:51.331562,ACC553502,ACC392503,441.2,withdrawal,utilities,Sydney,atm,True,-3080.8353851027778,0.95,1,0.97,wire_transfer,175.137.4.17,D6664104,640732.7
T4490636,2023-12-31T07:01:36.535111,ACC991752,ACC552648,467.64,withdrawal,entertainment,London,pos,True,7197.070180956945,-0.62,20,0.81,card,8.152.66.35,D9121012,679130.19
T1744409,2023-02-24T19:35:44.093449,ACC172274,ACC443483,560.04,withdrawal,utilities,Tokyo,mobile,True,1003.3514561391668,-1.12,9,0.24,wire_transfer,224.186.182.70,D8323984,813318.09
T2270537,2023-06-20T16:33:42.236124,ACC619087,ACC734495,431.62,withdrawal,online,Sydney,mobile,False,167.05807375666666,-0.76,7,0.09,wire_transfer,17.159.3.176,D1250023,626820.145
T4700289,2023-03-15T21:00:04.260459,ACC874411,ACC817372,58.79,payment,entertainment,London,mobile,False,-4763.766588610555,-1.79,16,0.53,wire_transfer,157.75.116.61,D4436232,85377.7775
T3915974,2023-12-30T22:03:30.136402,ACC699360,ACC854772,9.86,payment,grocery,Toronto,atm,True,363.3619049797222,-0.44,8,0.23,card,166.182.142.49,D2904289,14319.185
T1192337,2023-08-22T02:03:32.412534,ACC790433,ACC209674,5.59,payment,other,Tokyo,mobile,True,-2331.654404783889,0.35,12,0.9,wire_transfer,207.70.141.217,D5435429,8118.077499999999
T1684039,2023-07-11T16:46:57.628714,ACC853708,ACC504355,3.87,payment,entertainment,Toronto,atm,False,4449.152011448333,-0.25,16,0.02,card,166.82.91.191,D6034625,5620.2075
T5018512,2023-04-22T05:40:52.097052,ACC722883,ACC488733,21.97,transfer,grocery,Toronto,pos,False,2257.596895880556,0.02,13,0.64,card,14.73.88.246,D7796324,31905.9325
T2202382,2023-11-26T15:40:41.437651,ACC377465,ACC262826,152.79,withdrawal,restaurant,Tokyo,pos,True,4495.034892203055,1.2,5,0.82,card,31.134.186.225,D7040324,221889.2775
T4322125,2023-01-18T03:30:44.127032,ACC613518,ACC377408,413.12,payment,other,Dubai,atm,True,-1739.8307385141666,0.84,7,0.48,card,28.96.239.232,D9582814,599953.52
T4808291,2023-10-08T12:18:24.319643,ACC135519,ACC641388,48.5,payment,utilities,Toronto,mobile,True,-426.70643981527775,-1.29,11,0.68,card,132.157.106.50,D7509855,70434.125
T4040661,2023-06-17T07:18:56.519192,ACC744346,ACC104853,11.56,transfer,travel,New York,pos,True,-1185.5143745319444,-0.34,6,0.74,ACH,179.226.219.34,D5261336,16788.010000000002
T4548912,2023-08-12T11:35:45.950356,ACC417731,ACC969609,2152.24,deposit,grocery,Berlin,pos,True,-1341.0435037330556,-1.15,14,0.05,UPI,211.131.165.112,D4050260,3125590.5399999996
T1884531,2023-05-08T18:05:03.559684,ACC353174,ACC468802,65.87,payment,online,Tokyo,web,True,-3132.4241634125,-0.21,7,0.47,UPI,194.21.83.63,D6397357,95659.7075
T3254909,2023-03-14T00:43:57.116982,ACC833967,ACC655262,210.01,withdrawal,travel,Tokyo,pos,False,-4682.160708453611,-0.18,20,0.94,card,236.128.69.48,D1071529,304987.02249999996
T744112,2023-06-12T17:48:10.197615,ACC482575,ACC888749,46.88,transfer,online,Dubai,pos,True,-2086.8166712844445,-0.56,7,0.17,card,151.79.114.193,D4900717,68081.48000000001
T4554898,2023-09-25T06:24:44.580555,ACC423750,ACC795023,103.97,payment,travel,Dubai,web,False,-391.66357803222223,1.03,5,0.11,ACH,167.238.120.150,D4034118,150990.4325
T3069137,2023-03-12T10:50:53.435124,ACC309406,ACC606223,92.28,withdrawal,grocery,Berlin,web,True,-3468.287767484722,-0.61,12,0.91,UPI,159.160.9.183,D4776455,134013.63
T959016,2023-02-23T02:37:34.771478,ACC619827,ACC598661,23.68,transfer,entertainment,Tokyo,mobile,False,,-0.34,5,0.89,UPI,89.132.108.118,D2035549,34389.28
T2002590,2023-05-08T05:24:50.059382,ACC582271,ACC890689,14.98,transfer,other,Dubai,atm,False,,-1.51,14,0.94,UPI,94.87.211.55,D2565999,21754.705
T3080410,2023-08-01T06:40:50.801445,ACC104952,ACC955678,33.59,payment,entertainment,Sydney,web,False,2163.557288735556,-0.75,7,0.1,UPI,60.69.254.52,D7737286,48781.07750000001
T4598519,2023-10-31T01:20:33.440078,ACC561538,ACC830889,335.55,deposit,entertainment,Berlin,atm,True,5574.852736530555,-1.6,6,0.35,ACH,145.238.99.58,D4408335,487302.4875
T424215,2023-01-12T20:30:39.285485,ACC406046,ACC800527,83.16,payment,entertainment,New York,web,False,-5455.372951531944,0.56,10,0.68,UPI,103.170.218.72,D3243358,120769.11
T3791267,2023-04-18T06:31:28.487507,ACC202353,ACC887620,1205.48,deposit,other,Toronto,pos,True,-945.6176802419444,-1.16,16,0.63,ACH,216.215.35.195,D8782277,1750658.33
T4602441,2023-10-21T02:52:54.715234,ACC873682,ACC571532,10.82,transfer,retail,Sydney,mobile,False,780.8643295038888,0.15,16,0.35,UPI,113.179.81.18,D9157001,15713.345000000001
T1693238,2023-01-29T06:53:41.707492,ACC737845,ACC717302,299.94,payment,entertainment,Sydney,web,False,-6761.0452684452775,-0.83,11,0.86,ACH,1.182.212.32,D4460833,435587.865
T3370254,2023-03-12T09:05:58.762853,ACC297836,ACC282886,798.1,deposit,restaurant,Toronto,web,False,-3472.578909555833,-1.44,5,0.11,UPI,58.134.198.87,D5473342,1159040.725
T3471805,2023-01-16T10:33:34.305513,ACC635077,ACC575633,5.84,transfer,utilities,Singapore,web,True,-5056.193131449444,0.33,14,0.96,UPI,237.76.111.226,D1390636,8481.14
T4759307,2023-05-28T10:33:21.972294,ACC782718,ACC401307,1153.89,deposit,grocery,Sydney,pos,True,975.7490246291668,-1.44,8,0.67,UPI,122.150.15.253,D2104224,1675736.7525000002
T520907,2023-05-16T19:33:36.918943,ACC320719,ACC995997,15.42,transfer,entertainment,New York,web,True,-1962.1238140102776,0.34,8,0.33,card,1.108.222.160,D5857422,22393.695
T376466,2023-08-11T15:39:01.926018,ACC241881,ACC667630,359.04,deposit,retail,London,atm,False,,-0.79,5,0.65,ACH,78.234.169.177,D5432135,521415.84
T2779922,2023-05-03T21:49:31.299271,ACC928969,ACC414881,5.51,withdrawal,retail,London,atm,False,-1820.1850640466664,-0.64,7,0.31,UPI,116.39.170.44,D8470004,8001.8975
T2966049,2023-11-27T11:35:48.711466,ACC935811,ACC123217,28.03,transfer,other,Berlin,mobile,False,5745.494312246389,0.79,1,0.85,UPI,221.254.195.115,D5494603,40706.567500000005
T4379563,2023-11-18T08:01:02.604699,ACC119903,ACC266274,17.46,payment,travel,Tokyo,web,True,5839.792996153055,-2.76,2,0.46,ACH,173.187.236.115,D1257078,25356.285
T136918,2023-07-28T22:03:26.505467,ACC356840,ACC762178,511.48,withdrawal,entertainment,Tokyo,web,False,,-0.3,9,0.36,ACH,123.152.121.192,D5793075,742796.8300000001
T2134976,2023-12-10T00:36:05.474909,ACC757701,ACC520193,490.84,withdrawal,entertainment,Toronto,pos,True,4473.038034175834,-2.05,5,0.44,UPI,150.227.200.156,D1597433,712822.39
T355315,2023-11-15T21:57:31.899831,ACC860733,ACC914603,22.57,transfer,restaurant,Sydney,mobile,False,303.2807003516667,1.98,17,0.97,ACH,215.65.45.151,D7591328,32777.2825
T1374227,2023-07-16T19:15:02.400563,ACC528754,ACC771847,1023.01,deposit,travel,Toronto,atm,False,-8.14146269361111,-0.28,16,0.73,ACH,185.138.80.129,D5637738,1485666.2725
T1914012,2023-02-01T19:27:36.743254,ACC301601,ACC341612,63.36,transfer,restaurant,Dubai,mobile,True,-4044.5474313219447,0.54,5,0.59,wire_transfer,19.217.124.130,D2313979,92014.56
T1961363,2023-12-12T06:46:21.037764,ACC738885,ACC420783,18.51,transfer,grocery,Berlin,mobile,True,7231.1479464877775,-1.4,6,0.7,wire_transfer,227.108.105.84,D6694467,26881.147500000003
T4441428,2023-04-12T06:14:02.371671,ACC872868,ACC548050,5.43,transfer,utilities,Tokyo,pos,True,-2219.2194638172223,0.49,8,0.26,card,132.23.192.220,D4434635,7885.7175
T3877907,2023-06-01T06:16:25.923734,ACC603858,ACC836905,295.16,withdrawal,entertainment,New York,web,False,-4798.66984749,0.01,1,0.12,wire_transfer,229.126.51.112,D8486277,428646.11000000004
T4930793,2023-02-19T15:35:37.390206,ACC952696,ACC961070,7.03,transfer,utilities,Tokyo,pos,True,-6027.905185835278,0.97,5,0.75,UPI,80.104.3.77,D6796968,10209.317500000001
